slam_x;slam_y;gt_x;gt_y;error
1.742197019;0.06051868;1.802123439;0.036873307;0.064422663
3.367609624;0.68443335;3.446166422;0.653158;0.08455364
3.837248929;2.127099515;3.954775008;2.071111855;0.130180633
3.278011071;2.740908549;3.439978203;2.764740817;0.163711114
2.97550324;2.590875747;3.072129698;2.589560717;0.096635406
4.13409122;1.225088008;4.152688206;1.146434475;0.080822189
5.497222044;0.107551419;5.462717055;-0.02638834;0.138312882
6.92260153;-0.839621165;7.000115246;-0.915845608;0.108713118
7.352045622;-2.370021153;7.495072935;-2.400612219;0.146262181
9.043308611;-2.685283264;9.18399909;-2.714849695;0.143763641
7.72153905;-2.563627183;7.883563021;-2.604836203;0.167182387
7.651259377;-1.782651183;7.812728139;-1.841340435;0.171803926
8.959949733;-0.855732631;9.100846539;-0.891886137;0.145461287
10.60306284;-0.039470664;10.73674021;-0.053271598;0.134387888
11.36506731;1.282324231;11.65240735;1.246847078;0.289521889
10.25467942;2.314085896;10.7115139;2.323607259;0.456933685
10.18257377;3.545549526;10.7229875;3.560615257;0.54062369
11.11742246;3.197635812;12.00851033;3.108562387;0.895528707
12.00089475;2.955091553;12.90581266;2.850713545;0.910917776
11.15516052;3.111839838;12.06791585;2.943744678;0.928104661
11.36209234;1.957125824;12.21395216;1.77517624;0.87107451
11.85655298;1.289462672;12.95981638;0.961604045;1.150948044
13.31373744;1.407270632;14.48198483;0.970102226;1.247364496
14.2965185;1.499720732;15.97665587;0.859481235;1.797990045
15.33563404;0.730870681;17.00260903;0.010075484;1.816136375
14.81576527;-0.637196721;16.76912493;-1.302973077;2.063703498
15.34913972;-2.239430309;17.26597918;-2.940961954;2.041181073
16.14320237;-3.430501559;17.98243582;-4.187230656;1.988823421
17.79995041;-3.18639826;19.69623972;-4.099322298;2.104600548
19.10779247;-4.090897512;20.98002493;-4.999266382;2.080958525
19.52249355;-5.84555663;21.33985609;-6.761753862;2.035245435
19.25716781;-7.509737245;21.1010705;-8.422654425;2.057521551
17.80593835;-8.075454333;19.609497;-9.015436041;2.033811551
16.24261942;-7.803874121;18.03198649;-8.764962417;2.031138896
15.24256063;-9.073139301;16.9941727;-10.01603457;1.989270301
13.84058371;-9.597981796;15.55883635;-10.52472766;1.952242315
12.52042899;-8.604191897;14.21573798;-9.616328353;1.97446012
11.95773609;-8.485688409;13.63886151;-9.526112213;1.977034236
11.51678314;-10.30791364;13.28916173;-11.32005702;2.04101937
11.38171804;-11.71978214;13.19858085;-12.74718944;2.08723651
12.7057197;-11.0193357;14.41348218;-11.98873025;1.963715483
14.46657233;-10.71824044;16.16770979;-11.6098856;1.920650866
15.72591333;-11.70903875;17.46572622;-12.60697444;1.957865519
17.46128738;-11.98040402;19.22175068;-12.83391652;1.956454608
19.26130475;-12.16895264;21.05633978;-12.97395778;1.967278331
20.30201995;-10.99071982;22.06990834;-11.97832627;2.025042189
20.54742751;-9.148370584;22.34168489;-10.12312749;2.04193795
20.69416722;-7.290284415;22.51315596;-8.277948122;2.069830829
20.68251428;-5.335487155;22.5968867;-6.403317115;2.192049858
20.64737779;-3.475738504;22.60227628;-4.543732332;2.227608345
20.55092676;-1.576926826;22.54770078;-2.670277081;2.276515154
19.90710055;0.015940278;21.94970843;-1.048872373;2.303491474
18.480078;0.687893532;20.59367279;-0.231537377;2.304915647
16.6484166;0.72012035;18.74816637;-0.096724666;2.253039026
14.98258498;0.62310157;17.09463555;-0.102134987;2.233097781
