slam_x;slam_y;gt_x;gt_y;error
0.212776424;0.06248235;0.288930355;0.022386486;0.086064508
-0.155840213;-0.736847919;-0.091448484;-0.771730564;0.073233146
-0.39458046;-0.343843204;-0.293946275;-0.398876999;0.114699424
-1.381203067;1.228135733;-1.223195048;1.204056307;0.159832265
-1.694705057;1.689368521;-1.519130112;1.694138134;0.175639718
-1.601295758;-0.155907406;-1.486238467;-0.162556688;0.115249265
-1.467830132;-2.002368819;-1.35043615;-2.032935197;0.121308081
-1.353379476;-3.834815992;-1.222239437;-3.895949743;0.144689479
-1.351739063;-5.686652315;-1.206452536;-5.763228348;0.164231738
-1.352490419;-7.532527492;-1.192050905;-7.637048005;0.19148205
-1.351280026;-9.395529009;-1.177631981;-9.513117596;0.209715805
-1.350051553;-11.23766102;-1.163187118;-11.39256209;0.242719301
-1.351531298;-11.03491667;-1.164512264;-11.22014565;0.263222138
-1.350792158;-9.166003957;-1.178928314;-9.344451048;0.247750974
-1.351027409;-7.270761479;-1.193332836;-7.470256402;0.254294716
-1.196440761;-5.522138424;-1.10641272;-5.643656702;0.151234057
-0.714772445;-3.786586496;-0.631987797;-3.83904147;0.098004195
-0.160572187;-1.976228598;-0.082696601;-2.086518994;0.135013253
0.660282508;-0.308978071;0.723436334;-0.411810457;0.120676863
1.367031979;1.419831543;1.428329377;1.316640353;0.120024134
1.662863997;3.175706895;1.749057422;3.081603401;0.12761181
1.702773441;1.988040882;1.775406355;1.905678219;0.109814154
1.739546301;0.104175637;1.803404278;0.035241275;0.093966949
1.730557136;-1.716451771;1.770887512;-1.83299226;0.123321631
1.704191164;-3.602854096;1.720544408;-3.704162044;0.102619339
1.570047542;-5.480536341;1.655591946;-5.579162361;0.130556259
1.49828027;-7.326029842;1.591809231;-7.44890659;0.154422671
1.446248111;-9.194456084;1.555472329;-9.325429809;0.170540454
1.395058509;-11.02337942;1.519182087;-11.19970351;0.215631281
1.377978135;-11.24013977;1.503874353;-11.43492214;0.231926775
1.403341925;-9.364828742;1.514326711;-9.560701284;0.225130352
1.428811889;-7.48909152;1.524781162;-7.686105436;0.219145122
1.563054444;-5.694149692;1.638176358;-5.839818595;0.16389854
2.14253454;-4.147759992;2.310816115;-4.27796205;0.21277045
3.699843426;-3.368904257;3.86040735;-3.467101887;0.188211446
4.881171683;-2.067591937;5.061487098;-2.186669261;0.216085765
5.107351191;-0.382050172;5.363386887;-0.481438195;0.274649334
4.617223701;1.392912613;4.888514321;1.308306705;0.284177339
4.317693248;3.188757941;4.598342542;3.104094242;0.29314155
3.302676363;2.62697049;4.631367368;2.484327597;1.336325851
