slam_x;slam_y;gt_x;gt_y;error
0.425518177;0.326165984;0.449748555;0.346056647;0.03134884
0.880469867;2.097422935;0.868642822;2.10084147;0.01231119
1.424328353;3.796324986;1.388630734;3.802937003;0.036304804
2.388497587;5.327710105;2.359970726;5.358163488;0.041727573
2.45250409;6.760867827;2.413796176;6.783911274;0.045047786
0.910436634;7.487156522;0.859427686;7.479848488;0.051529799
0.026035462;8.943362596;-0.03523165;8.94447765;0.061277258
-1.28152691;9.475786153;-1.375354771;9.464805729;0.094468182
-2.495740158;8.451528158;-2.577030891;8.422561893;0.086297322
-2.511980225;6.792881184;-2.5657876;6.763274879;0.061414713
-1.800341609;5.602573055;-1.834166948;5.582183553;0.039495384
-2.608490853;4.678261957;-2.644179604;4.643871144;0.049562233
-2.710972255;2.812955367;-2.73322601;2.77925312;0.040386521
-2.762351039;0.948230432;-2.768904795;0.900841934;0.047839539
-2.809206512;-0.925232709;-2.804469636;-0.971570334;0.046579111
-2.858492057;-2.824619988;-2.840127056;-2.848856724;0.030408759
-2.861389741;-4.664442334;-2.83307026;-4.707153119;0.051246504
-2.626698949;-6.468193642;-2.573171397;-6.508862411;0.067224605
-2.409451929;-8.19266014;-2.360070964;-8.244434768;0.071547829
-1.30582976;-9.381446777;-1.226393976;-9.412710001;0.085366463
0.382860759;-9.248861027;0.470835816;-9.267153278;0.089856647
1.143504539;-8.050090021;1.212364812;-8.037933585;0.069925075
0.196736681;-6.486891258;0.244415498;-6.479256242;0.048286262
0.634316442;-7.09298592;0.698137534;-7.107024432;0.065346855
1.228874756;-8.551283688;1.307178413;-8.534233395;0.080138476
2.218408393;-7.134132512;2.28762681;-7.111042591;0.072968032
2.460657587;-5.568181558;2.521900924;-5.535552161;0.069393255
1.73424085;-3.932576727;1.760822813;-3.924499652;0.027782006
1.814478317;-2.234422302;1.829132852;-2.212649979;0.026244798
2.759242042;-0.785290277;2.784599663;-0.758605725;0.036811333
3.837369546;0.656055328;3.859390135;0.688259026;0.03901262
4.60923022;2.291175138;4.639053043;2.307699157;0.034094633
4.8169867;4.081586723;4.836892828;4.143873779;0.065390605
5.020609448;5.936511341;5.025722231;5.98320394;0.046971686
5.219608099;7.060402785;5.219718512;7.089733181;0.029330603
6.641484666;5.965681308;6.648468402;6.014934027;0.04974538
8.185631434;5.075332853;8.205032167;5.116787004;0.045769369
9.857612623;5.204649496;9.891502485;5.267837138;0.071702168
11.30744203;6.086658196;11.32499767;6.178941922;0.093938738
12.93381269;5.554206752;12.94577055;5.631557242;0.078269335
14.60495041;5.21778059;14.63503824;5.309062544;0.096112811
15.89710243;6.1192206;15.90753145;6.226450442;0.107735805
15.80580389;7.846044496;15.81076396;7.963826828;0.117886725
14.5722235;8.480834543;14.55216221;8.572268188;0.093608582
12.78018135;8.25508609;12.76499978;8.340754421;0.087003121
11.55061691;7.039863831;11.53500985;7.108278997;0.070172754
10.49003518;5.497240991;10.49368511;5.554892272;0.057766705
9.425976941;3.956820659;9.441604469;4.007357063;0.052897521
8.345794791;2.431582889;8.362671112;2.477198297;0.048637184
7.430528104;0.922996891;7.439553243;0.971734143;0.049565843
7.168983255;-0.82436934;7.206756609;-0.790272537;0.050886327
8.226374643;-1.82001951;8.283927322;-1.77389622;0.073754111
9.863155013;-1.186699432;9.924398093;-1.119091986;0.091222155
11.57777643;-0.523385031;11.638153;-0.457533902;0.089340369
12.39849181;-0.289615098;12.44257953;-0.217238769;0.084747039
11.86744176;-0.616180673;11.89855254;-0.555001486;0.068635075
10.2462729;-1.488759881;10.27909611;-1.431350869;0.066129859
8.512312491;-1.724652025;8.541934729;-1.678535415;0.054810753
6.716927946;-1.605227494;6.757405769;-1.554802937;0.064661349
5.310490674;-2.408370717;5.331021822;-2.369570449;0.043897481
4.939183522;-4.144034688;4.992000491;-4.10569582;0.065264853
4.967921997;-5.971204961;5.032330295;-5.948465334;0.068304608
5.608849128;-7.548300348;5.687670348;-7.519573813;0.08389278
7.128651971;-8.477886506;7.220717564;-8.439091248;0.099905683
8.872240814;-8.821805938;8.951841889;-8.765671902;0.097403086
10.46572053;-8.404658168;10.57337414;-8.351189886;0.120200487
11.47704481;-6.903899338;11.56259591;-6.816298662;0.122445375
12.54889329;-5.492900486;12.62231025;-5.401712199;0.117069864
14.26871029;-5.277619151;14.32843312;-5.188193581;0.107534876
15.21966268;-5.70069279;15.29595562;-5.619020519;0.111763018
16.04726417;-6.983806122;16.14354741;-6.894494204;0.131328141
15.52102025;-8.482886191;15.5977323;-8.400594841;0.112501577
13.82726753;-8.7812417;13.904977;-8.694949592;0.11612532
12.29466203;-8.157804362;12.35417648;-8.085660269;0.093524011
11.33557354;-6.611417302;11.40051259;-6.523038563;0.1096717
10.38741374;-5.017144141;10.44695415;-4.935704193;0.10088372
9.69705663;-3.386867764;9.743093551;-3.306333623;0.092763926
9.828739017;-2.006722045;9.880987677;-1.941874108;0.083277713
9.833410219;-2.002908236;9.880987677;-1.941874108;0.077387203
