slam_x;slam_y;gt_x;gt_y;error
0.301599834;0.02568504;0.288930355;0.022386486;0.013091836
-0.085334602;-0.771327566;-0.091448484;-0.771730564;0.006127149
-0.284507388;-0.393641693;-0.293946275;-0.398876999;0.010793563
-1.218531732;1.199767491;-1.223195048;1.204056307;0.00633565
-1.512529541;1.708533228;-1.519130112;1.694138134;0.015836233
-1.482427438;-0.127342513;-1.486238467;-0.162556688;0.035419797
-1.364422751;-2.026188245;-1.35043615;-2.032935197;0.015528888
-1.247053601;-3.876291221;-1.222239437;-3.895949743;0.031657546
-1.234520428;-5.739699706;-1.206452536;-5.763228348;0.036625176
-1.228847599;-7.626707314;-1.192050905;-7.637048005;0.038222069
-1.227689957;-9.499021366;-1.177631981;-9.513117596;0.052004852
-1.221629507;-11.38674016;-1.163187118;-11.39256209;0.058731658
-1.227902369;-11.24687821;-1.164512264;-11.22014565;0.068796333
-1.232794873;-9.362808419;-1.178928314;-9.344451048;0.056908692
-1.234067206;-7.472990996;-1.193332836;-7.470256402;0.040826057
-1.131165547;-5.663833128;-1.10641272;-5.643656702;0.03193416
-0.655549922;-3.856909745;-0.631987797;-3.83904147;0.029571083
-0.092227251;-2.098105666;-0.082696601;-2.086518994;0.015002808
0.712230848;-0.434143463;0.723436334;-0.411810457;0.024986518
1.431829083;1.293900667;1.428329377;1.316640353;0.023007418
1.760089161;3.039736113;1.749057422;3.081603401;0.043296295
1.788233728;1.892926474;1.775406355;1.905678219;0.018087247
1.807268413;0.036597148;1.803404278;0.035241275;0.004095111
1.775883983;-1.837331983;1.770887512;-1.83299226;0.006618
1.703047842;-3.71893985;1.720544408;-3.704162044;0.022902257
1.627871642;-5.574641853;1.655591946;-5.579162361;0.028086478
1.548756738;-7.448724108;1.591809231;-7.44890659;0.043052879
1.500049427;-9.337412997;1.555472329;-9.325429809;0.05670357
1.449318436;-11.19130211;1.519182087;-11.19970351;0.07036699
1.426925496;-11.46687789;1.503874353;-11.43492214;0.083320445
1.452488418;-9.573733217;1.514326711;-9.560701284;0.063196565
1.473590054;-7.713987116;1.524781162;-7.686105436;0.058291659
1.60140401;-5.866531444;1.638176358;-5.839818595;0.045450873
2.289284529;-4.31115021;2.310816115;-4.27796205;0.039560879
3.82383227;-3.504795421;3.86040735;-3.467101887;0.052521795
5.030194665;-2.234444545;5.061487098;-2.186669261;0.057111243
5.35722417;-0.537720857;5.363386887;-0.481438195;0.056619053
4.907227911;1.235725937;4.888514321;1.308306705;0.074954428
4.608750541;3.056064632;4.598342542;3.104094242;0.049144378
4.643066902;2.431825105;4.631367368;2.484327597;0.053790247
4.694215896;0.664191854;4.688266079;0.6885752;0.025098762
3.829325183;-0.146571246;3.81622299;-0.127361412;0.023252638
5.021054257;0.158976542;5.03124663;0.202978088;0.045166586
6.697713009;0.758348888;6.713785261;0.793446049;0.038602177
7.576140099;2.113234137;7.574581338;2.162620017;0.049410474
7.626750027;2.882834098;7.625924593;2.925248443;0.042422376
7.907919594;1.150560388;7.890940872;1.175506679;0.030176058
8.822520274;-0.307523183;8.823304624;-0.26112168;0.046408132
9.094703011;-0.51425515;9.100085095;-0.460003824;0.054517641
8.480328647;-1.681086909;8.484955912;-1.641300618;0.040054469
8.038354148;-3.48918322;8.051318086;-3.453382836;0.038075336
7.759359612;-5.323435918;7.78578063;-5.278676105;0.051976063
7.684177638;-7.179853536;7.723239281;-7.142588437;0.053986105
7.64438891;-9.059618716;7.699629705;-9.016314698;0.070191049
7.606795437;-10.92984354;7.675968156;-10.89416563;0.077831731
7.577659133;-10.98290674;7.651152948;-10.92327785;0.094641139
7.570204661;-9.102822349;7.630173569;-9.043144898;0.084603004
7.561413852;-7.23778406;7.609302237;-7.172386322;0.081056534
7.551333985;-5.365110001;7.58794226;-5.299734843;0.074927145
6.98059553;-4.090236493;7.007890691;-4.045658195;0.052270933
8.216392349;-3.761577815;8.256599404;-3.704155478;0.070099444
8.602159624;-2.131087154;8.61398498;-2.055733526;0.07627587
8.978404836;-0.426819092;8.969684243;-0.347838677;0.079460398
10.2728925;0.754991499;10.27260849;0.824263684;0.069272767
11.75784633;1.815380942;11.74577128;1.905171953;0.090599296
13.42326888;1.918594783;13.4286694;1.998709043;0.080296078
15.07374655;1.102071027;15.07749474;1.184130651;0.082145181
16.7189866;0.192757114;16.71888869;0.291357621;0.098600555
18.34253473;-0.707737596;18.3610844;-0.615081188;0.094494974
19.98523185;-1.635335489;20.00328011;-1.521519998;0.115237605
21.49588777;-2.653229325;21.51869653;-2.525869744;0.129385866
22.31153241;-4.096661683;22.3547955;-4.031426807;0.078276972
22.39339687;-5.950166933;22.43251608;-5.868454293;0.090593978
22.41165281;-7.817259081;22.45276104;-7.745216259;0.082946095
22.41803273;-9.692439124;22.46177867;-9.617073252;0.087141964
22.41709747;-11.467067;22.46639276;-11.37094223;0.108027761
22.45198825;-9.635279978;22.50024809;-9.540330743;0.106509949
22.5208186;-9.164706483;22.57289072;-9.092364412;0.089134064
22.5226755;-9.180583239;22.57369284;-9.093718149;0.10073884
21.0902455;-9.014005727;21.12490641;-8.926320242;0.094287449
19.28052313;-8.802029521;19.31582261;-8.712372466;0.096355803
17.65321325;-9.36371032;17.69171653;-9.296876699;0.07713129
16.76765028;-10.77396441;16.80083027;-10.70996679;0.072087504
16.75381956;-11.76728481;16.81458406;-11.68643912;0.101135312
16.7325157;-9.880158514;16.78935741;-9.811983868;0.088762394
16.71525134;-8.021581097;16.76676451;-7.936879355;0.099136232
16.69908888;-6.145201169;16.74628711;-6.058991;0.098284618
16.77989362;-4.303952602;16.81758855;-4.211584416;0.099763669
17.3695231;-2.649478628;17.38493712;-2.569363645;0.081584327
16.63901842;-2.752897298;16.64999237;-2.679009008;0.074698774
14.78961439;-2.69740746;14.79963478;-2.625961071;0.072145648
12.95682107;-2.684482409;12.96690284;-2.60615203;0.078976518
11.5170619;-3.482106973;11.52820382;-3.425281938;0.057907054
11.0839114;-5.142327639;11.10323392;-5.099385035;0.047089565
11.02677;-6.998733574;11.06526477;-6.965602129;0.050789173
10.96542681;-8.871830598;11.01046105;-8.838824518;0.055834429
10.91098651;-10.7585611;10.9667247;-10.71293925;0.072028464
10.93781109;-10.70462662;10.99264723;-10.64281408;0.082630458
11.696397;-9.235401723;11.75259679;-9.164194948;0.090712854
13.35250665;-8.792471244;13.41617834;-8.725701951;0.092261709
15.20751226;-8.772685636;15.27257438;-8.703370687;0.095066514
16.86350554;-8.769600526;16.91067676;-8.702685782;0.081870061
