slam_x;slam_y;gt_x;gt_y;error
0.292084355;0.021513924;0.288930355;0.022386486;0.003272473
-0.083256889;-0.762506208;-0.091448484;-0.771730564;0.01233657
-0.287450811;-0.412412631;-0.293946275;-0.398876999;0.015013473
-1.211809125;1.196534806;-1.223195048;1.204056307;0.013645959
-1.51222725;1.707405486;-1.519130112;1.694138134;0.014955671
-1.484074966;-0.147866149;-1.486238467;-0.162556688;0.014848996
-1.349767532;-2.044812536;-1.35043615;-2.032935197;0.011896143
-1.230018632;-3.89074707;-1.222239437;-3.895949743;0.009358615
-1.22121383;-5.754546487;-1.206452536;-5.763228348;0.017125143
-1.213008174;-7.630038995;-1.192050905;-7.637048005;0.022098266
-1.196472414;-9.508673518;-1.177631981;-9.513117596;0.019357473
-1.188674074;-11.37533135;-1.163187118;-11.39256209;0.030764965
-1.191801548;-11.23057017;-1.164512264;-11.22014565;0.029212592
-1.199103816;-9.351774843;-1.178928314;-9.344451048;0.021463663
-1.2037254;-7.452841428;-1.193332836;-7.470256402;0.020280205
-1.114718852;-5.642649774;-1.10641272;-5.643656702;0.008366943
-0.640025308;-3.846668296;-0.631987797;-3.83904147;0.011080164
-0.089068331;-2.098686427;-0.082696601;-2.086518994;0.013734823
0.721740194;-0.424158765;0.723436334;-0.411810457;0.012464253
1.430124746;1.301254186;1.428329377;1.316640353;0.015490562
1.757211946;3.065109181;1.749057422;3.081603401;0.01839988
1.784074734;1.913466492;1.775406355;1.905678219;0.011653239
1.807919894;0.045683877;1.803404278;0.035241275;0.011377115
1.772565692;-1.82294371;1.770887512;-1.83299226;0.01018772
1.718387186;-3.697474652;1.720544408;-3.704162044;0.007026721
1.649523856;-5.566472418;1.655591946;-5.579162361;0.014066142
1.581386647;-7.438872251;1.591809231;-7.44890659;0.014467834
1.541902528;-9.34044379;1.555472329;-9.325429809;0.020237567
1.502685472;-11.19667965;1.519182087;-11.19970351;0.016771464
1.48542591;-11.46269391;1.503874353;-11.43492214;0.03334091
1.499346793;-9.582556926;1.514326711;-9.560701284;0.026496548
1.510809101;-7.710486714;1.524781162;-7.686105436;0.028100982
1.626349161;-5.864136707;1.638176358;-5.839818595;0.027041693
2.293753874;-4.293814203;2.310816115;-4.27796205;0.023289715
3.841750832;-3.485941218;3.86040735;-3.467101887;0.026513885
5.047284011;-2.20816786;5.061487098;-2.186669261;0.025766595
5.361485748;-0.507315322;5.363386887;-0.481438195;0.025946869
4.900040373;1.277574155;4.888514321;1.308306705;0.03282285
4.609312636;3.07320639;4.598342542;3.104094242;0.032778078
4.640382603;2.462396801;4.631367368;2.484327597;0.02371148
4.69058342;0.685443144;4.688266079;0.6885752;0.003896132
3.831488979;-0.131232489;3.81622299;-0.127361412;0.015749147
5.018279338;0.187401943;5.03124663;0.202978088;0.020267387
6.705431333;0.775803111;6.713785261;0.793446049;0.019520794
7.577772479;2.130337467;7.574581338;2.162620017;0.03243989
7.634430696;2.908360889;7.625924593;2.925248443;0.018908815
