slam_x;slam_y;gt_x;gt_y;error
0.435815768;0.334474284;0.449748555;0.346056647;0.018118325
0.872029951;2.085038812;0.868642822;2.10084147;0.01616158
1.394181881;3.797231232;1.388630734;3.802937003;0.007960595
2.362375101;5.342726325;2.359970726;5.358163488;0.015623284
2.425151587;6.768488346;2.413796176;6.783911274;0.019152338
0.872382113;7.486170035;0.859427686;7.479848488;0.014414546
-0.02453128;8.950991971;-0.03523165;8.94447765;0.012527341
-1.343624506;9.461719304;-1.375354771;9.464805729;0.031880021
-2.547961472;8.436408252;-2.577030891;8.422561893;0.032198645
-2.544728618;6.7656243;-2.5657876;6.763274879;0.021189632
-1.824903211;5.586320249;-1.834166948;5.582183553;0.010145397
-2.616332951;4.65692996;-2.644179604;4.643871144;0.030756605
-2.722746556;2.793303061;-2.73322601;2.77925312;0.017527687
-2.766375781;0.918947409;-2.768904795;0.900841934;0.018281251
-2.805440159;-0.957916642;-2.804469636;-0.971570334;0.013688142
-2.843693983;-2.834989097;-2.840127056;-2.848856724;0.01431901
-2.841328088;-4.696827626;-2.83307026;-4.707153119;0.01322148
-2.586275489;-6.49144932;-2.573171397;-6.508862411;0.021792957
-2.371856475;-8.248901844;-2.360070964;-8.244434768;0.012603691
-1.25531364;-9.401393285;-1.226393976;-9.412710001;0.031055031
0.441950971;-9.271712666;0.470835816;-9.267153278;0.029242474
1.194411098;-8.049298082;1.212364812;-8.037933585;0.021248238
0.241785782;-6.494327912;0.244415498;-6.479256242;0.015299368
0.67584257;-7.099347854;0.698137534;-7.107024432;0.023579552
1.284977574;-8.546647595;1.307178413;-8.534233395;0.025435991
2.262455193;-7.130324673;2.28762681;-7.111042591;0.031708186
2.508355911;-5.559885317;2.521900924;-5.535552161;0.027849055
1.757615868;-3.923820319;1.760822813;-3.924499652;0.003278107
1.821785843;-2.231044392;1.829132852;-2.212649979;0.019807397
2.771610008;-0.777647039;2.784599663;-0.758605725;0.023050006
3.850043831;0.669546717;3.859390135;0.688259026;0.020916594
4.64034773;2.30695982;4.639053043;2.307699157;0.001490917
4.841652985;4.118765562;4.836892828;4.143873779;0.025555462
5.031223232;5.955997774;5.025722231;5.98320394;0.027756738
5.231387071;7.070463636;5.219718512;7.089733181;0.022527109
6.427846976;5.731898672;6.648468402;6.014934027;0.358863242
7.768308956;4.56450197;8.205032167;5.116787004;0.704092269
9.444279227;4.384252717;9.891502485;5.267837138;0.990318167
11.03021012;4.989176762;11.32499767;6.178941922;1.225740933
12.53314276;4.145508603;12.94577055;5.631557242;1.542271782
14.10091228;3.504931987;14.63503824;5.309062544;1.881535971
15.52909865;4.15780927;15.90753145;6.226450442;2.102971156
15.78521562;5.86724224;15.81076396;7.963826828;2.096740245
14.68621029;6.721840556;14.55216221;8.572268188;1.855276612
12.88747278;6.841449746;12.76499978;8.340754421;1.504298555
11.44609771;5.881957347;11.53500985;7.108278997;1.229540628
10.11706409;4.55417841;10.49368511;5.554892272;1.069238808
8.788276011;3.238456777;9.441604469;4.007357063;1.008982519
7.435804185;1.947896114;8.362671112;2.477198297;1.067353315
6.23346982;0.647512608;7.439553243;0.971734143;1.248902248
5.664159592;-1.03455536;7.206756609;-0.790272537;1.561819341
6.514059403;-2.218194718;8.283927322;-1.77389622;1.824783168
8.244065631;-1.89938023;9.924398093;-1.119091986;1.852664818
10.05479815;-1.575701792;11.638153;-0.457533902;1.938378713
10.90320217;-1.495407368;12.44257953;-0.217238769;2.000849225
10.30022393;-1.662977624;11.89855254;-0.555001486;1.94480474
8.498532394;-2.054949827;10.27909611;-1.431350869;1.886606165
6.768591452;-1.82010986;8.541934729;-1.678535415;1.778985582
5.0827437;-1.207590053;6.757405769;-1.554802937;1.710277706
3.489209095;-1.582121122;5.331021822;-2.369570449;2.003085261
2.670235787;-3.163697682;4.992000491;-4.10569582;2.50558413
2.202007153;-4.930656186;5.032330295;-5.948465334;3.00776737
2.385670606;-6.612868185;5.687670348;-7.519573813;3.424225079
3.595042438;-7.929053898;7.220717564;-8.439091248;3.661373816
5.186941207;-8.735862648;8.951841889;-8.765671902;3.76501869
6.831756622;-8.789025336;10.57337414;-8.351189886;3.767147663
8.21191801;-7.600428577;11.56259591;-6.816298662;3.44120649
9.629859664;-6.53956694;12.62231025;-5.401712199;3.201479957
11.34502369;-6.798780727;14.32843312;-5.188193581;3.390386823
12.13746268;-7.466841247;15.29595562;-5.619020519;3.659305816
12.60580508;-8.923341616;16.14354741;-6.894494204;4.078215617
11.67806203;-10.22264629;15.5977323;-8.400594841;4.322463011
9.9552486;-10.04308761;13.904977;-8.694949592;4.173467453
8.640882388;-9.036597712;12.35417648;-8.085660269;3.833123407
8.154337395;-7.278422741;11.40051259;-6.523038563;3.332905434
7.680364065;-5.487599226;10.44695415;-4.935704193;2.821100638
7.454997409;-3.728388584;9.743093551;-3.306333623;2.326696014
7.96363141;-2.43897208;9.880987677;-1.941874108;1.9807477
7.96363117;-2.438973678;9.880987677;-1.941874108;1.980748333
