slam_x;slam_y;gt_x;gt_y;error
-0.481877407;-0.006664018;-0.480437631;-0.004504935;0.002595109
-0.953371516;-0.742141395;-0.959876652;-0.746451458;0.007803424
-1.218968504;0.129424593;-1.224233955;0.133142086;0.006445521
-1.367835698;1.398519734;-1.370348735;1.414391202;0.01606919
-1.377285865;1.54303374;-1.378899833;1.549018677;0.006198739
-1.336333793;1.532296107;-1.34189276;1.539400516;0.009020795
-0.652100296;0.766408506;-0.68547087;0.742808252;0.040872572
-0.716612046;-0.561377991;-0.693395375;-0.661075494;0.102365062
-0.84681714;-2.369414987;-0.755819004;-2.474134997;0.138733346
-0.985569676;-4.187439887;-0.800596588;-4.299910315;0.216482426
-1.193346705;-6.028082657;-0.929240594;-6.127480819;0.282191482
-1.265522121;-7.852012269;-0.912299917;-7.976658826;0.374570006
-1.366454056;-9.703175785;-0.933369791;-9.844140727;0.455448235
-1.36834692;-9.799983375;-0.934565843;-9.906654038;0.446704212
-1.271959992;-7.911677998;-0.917676879;-8.039513373;0.376640953
-1.187936827;-6.155872705;-0.912941716;-6.169373229;0.275326306
-1.256357045;-4.330920442;-1.061923979;-4.442321764;0.224085858
-1.283551781;-2.924893405;-1.151056246;-3.031458423;0.170032849
-0.340765113;-3.967113277;-0.168762104;-4.031859601;0.183785531
0.946200942;-4.572201571;1.148569705;-4.579458985;0.202498855
0.959101904;-4.71889041;1.16561114;-4.725334189;0.206609745
0.965405789;-6.275535672;1.240172409;-6.355324854;0.286117124
0.984680612;-8.159460662;1.345836609;-8.225467186;0.367138278
0.945212198;-10.01778325;1.392631135;-10.09298532;0.453694894
0.944346709;-10.12973544;1.397978297;-10.16982993;0.455400028
1.008113668;-8.259829774;1.378337079;-8.295035547;0.371893561
1.07871046;-6.394386696;1.3596875;-6.42762867;0.282936612
0.964594723;-4.622371457;1.167462213;-4.620499339;0.202876128
0.166123863;-3.029582712;0.285601942;-3.096648717;0.137014088
0.012773193;-2.916560718;0.13750389;-2.998469643;0.149220705
1.09464449;-2.535650202;1.183159075;-2.524831795;0.089173257
1.655272646;-1.055965051;1.780794915;-1.018441092;0.13101102
1.733879814;0.788102289;1.810525147;0.842633438;0.094064623
1.781000655;2.303785907;1.916703378;2.207348907;0.1664792
1.716853475;1.2997216;1.350062315;1.367728518;0.373042485
1.718181934;1.287290478;1.344435314;1.359389998;0.380637462
1.718181984;1.287289804;1.344435314;1.359389998;0.380637638
1.718181896;1.287289286;1.344435314;1.359389998;0.38063765
1.718181885;1.2872889;1.344435314;1.359389998;0.380637712
4.69945E-05;-3.51184E-09;0.000414702;-2.53445E-05;0.00036858
4.69945E-05;-3.51184E-09;0.000414702;-2.53445E-05;0.00036858
-0.05067771;-0.000227642;-0.055479414;-0.000343019;0.004803091
0.739386314;0.471201461;0.757726857;0.467455563;0.018719168
1.475125644;1.663816861;1.496784304;1.656850359;0.022751477
1.699762581;2.146252322;1.720014473;2.114067016;0.038026741
2.16978984;0.594754395;2.170872157;0.57747838;0.017309885
1.192039918;1.122503582;1.189641845;1.112788412;0.010006762
-0.668913316;1.087172445;-0.670820728;1.084424077;0.003345407
-1.185406516;1.132419632;-1.170735856;1.076482292;0.057829182
-1.166304476;1.368597859;-1.134833228;1.303809174;0.072027863
0.517986045;1.074846031;0.550726688;1.031603252;0.054239171
-0.440596243;0.308800981;-0.41419465;0.21162212;0.100701416
-0.713532061;0.249016548;-0.671998168;0.128494812;0.127477658
-0.593966102;-1.570136097;-0.583280566;-1.688279748;0.118625895
-0.926066239;-3.371758433;-0.933085913;-3.502522431;0.130952278
-1.137984078;-5.06636291;-1.150250769;-5.221638098;0.155758967
-1.187331021;-6.820503877;-1.212208152;-6.952437875;0.134258897
-1.208980352;-8.654691595;-1.244166983;-8.80031827;0.149817313
-1.231124784;-10.51698462;-1.276615934;-10.67653769;0.165911506
-1.26195126;-9.882690429;-1.296312871;-10.01897209;0.140546829
-1.268386088;-8.007687487;-1.3029956;-8.140233975;0.136990473
-0.915243809;-6.272495794;-1.309387543;-6.343245344;0.400443231
-1.328572791;-4.365333639;-1.316007462;-4.482164895;0.11750502
-1.37323386;-2.677468825;-1.334977688;-2.783826883;0.113029072
-0.775557476;-3.627889275;-0.75875496;-3.74967497;0.122939335
0.832573936;-4.338966342;0.85694696;-4.468494577;0.131801396
1.729058101;-5.638156243;1.742053667;-5.794990526;0.15737178
1.691961012;-7.485219545;1.664070205;-7.632722687;0.150116867
1.604285601;-9.344763748;1.555352076;-9.503816866;0.166410289
1.527630375;-10.93598071;1.461732753;-11.0637732;0.143782537
1.579601213;-9.061120411;1.524931871;-9.193215526;0.142961031
1.588760519;-7.207203852;1.588358827;-7.315911699;0.108708589
1.968657512;-5.228994125;1.651608508;-5.443854878;0.382995057
1.887040386;-3.42411774;1.701823037;-3.588232486;0.247465384
1.781226651;-1.814312509;1.16481053;-1.962623904;0.63400718
0.968237541;-1.740540502;0.962453936;-1.780722079;0.04059568
1.558472067;-0.493807574;1.714202263;-0.483572145;0.156066197
3.097317277;0.147761151;3.279496153;0.110463734;0.18595763
4.567065245;0.813272864;4.755540294;0.73489136;0.204123748
4.554310177;1.790188539;4.757306164;1.733954895;0.210640911
4.482012999;0.863335498;4.66037307;0.777257072;0.19804497
