slam_x;slam_y;gt_x;gt_y;error
0.400114841;0.355205854;0.449748555;0.346056647;0.050469928
0.863696142;2.086842183;0.868642822;2.10084147;0.014847548
1.414646518;3.782170243;1.388630734;3.802937003;0.033287827
2.361384988;5.334068895;2.359970726;5.358163488;0.024136063
2.424343133;6.767441586;2.413796176;6.783911274;0.019557325
0.872355418;7.48718129;0.859427686;7.479848488;0.014862579
-0.024200314;8.937039186;-0.03523165;8.94447765;0.013304928
-1.349781341;9.436352414;-1.375354771;9.464805729;0.038256914
-2.540676254;8.427200799;-2.577030891;8.422561893;0.036649408
-2.543303968;6.764318432;-2.5657876;6.763274879;0.022507836
-1.852507518;5.585246051;-1.834166948;5.582183553;0.018594499
-2.618389173;4.656339531;-2.644179604;4.643871144;0.028646238
-2.727878319;2.791057198;-2.73322601;2.77925312;0.012958937
-2.776203951;0.916451213;-2.768904795;0.900841934;0.017231578
-2.816331383;-0.958119348;-2.804469636;-0.971570334;0.017934048
-2.856458815;-2.832689908;-2.840127056;-2.848856724;0.022980258
-2.851631077;-4.702784999;-2.83307026;-4.707153119;0.019067889
-2.601392783;-6.513636684;-2.573171397;-6.508862411;0.028622375
-2.393248437;-8.249248777;-2.360070964;-8.244434768;0.033524907
-1.266496654;-9.416531598;-1.226393976;-9.412710001;0.040284357
0.424756637;-9.266911454;0.470835816;-9.267153278;0.046079814
1.158835991;-8.063845807;1.212364812;-8.037933585;0.059470815
0.229577341;-6.506439523;0.244415498;-6.479256242;0.030969367
0.665813557;-7.121168151;0.698137534;-7.107024432;0.035282918
1.244152274;-8.570949254;1.307178413;-8.534233395;0.072940719
2.267693741;-7.153846127;2.28762681;-7.111042591;0.047217263
2.475835223;-5.575415678;2.521900924;-5.535552161;0.060919199
1.749690262;-3.935652347;1.760822813;-3.924499652;0.015758055
1.827145751;-2.251729604;1.829132852;-2.212649979;0.039130112
2.767017729;-0.800234156;2.784599663;-0.758605725;0.045189055
3.840123324;0.640329985;3.859390135;0.688259026;0.051656587
4.627077389;2.262735677;4.639053043;2.307699157;0.046530966
4.836206843;4.085927696;4.836892828;4.143873779;0.057950143
5.037017215;5.92667213;5.025722231;5.98320394;0.05764913
5.24603026;7.060980113;5.219718512;7.089733181;0.038974954
6.659873309;5.964452214;6.648468402;6.014934027;0.051754085
8.204130555;5.084136951;8.205032167;5.116787004;0.032662499
9.87210387;5.233763098;9.891502485;5.267837138;0.03920901
11.33057739;6.081123346;11.32499767;6.178941922;0.097977584
12.95061355;5.55449883;12.94577055;5.631557242;0.077210449
14.62042795;5.240320849;14.63503824;5.309062544;0.070277173
15.89800468;6.12621695;15.90753145;6.226450442;0.100685214
15.83266933;7.861481684;15.81076396;7.963826828;0.104663144
14.59198937;8.468958395;14.55216221;8.572268188;0.11072089
12.79756681;8.259772794;12.76499978;8.340754421;0.087284793
11.55992404;7.046333596;11.53500985;7.108278997;0.066767878
10.50620627;5.50543197;10.49368511;5.554892272;0.051020592
9.441331897;3.965313165;9.441604469;4.007357063;0.042044781
8.350281666;2.437006017;8.362671112;2.477198297;0.042058504
7.419533217;0.944321767;7.439553243;0.971734143;0.033944658
7.165611698;-0.813861465;7.206756609;-0.790272537;0.04742722
8.240513789;-1.765789627;8.283927322;-1.77389622;0.044163919
9.858153448;-1.176236573;9.924398093;-1.119091986;0.087486324
11.5908294;-0.53762668;11.638153;-0.457533902;0.0930289
12.40142301;-0.293836336;12.44257953;-0.217238769;0.086954281
11.77046725;-0.439094828;11.89855254;-0.555001486;0.172743148
10.23694652;-1.467060714;10.27909611;-1.431350869;0.055242934
8.507637434;-1.709017381;8.541934729;-1.678535415;0.045885234
6.721991176;-1.552404362;6.757405769;-1.554802937;0.035495726
5.29926546;-2.384679643;5.331021822;-2.369570449;0.035167517
4.923321866;-4.10477106;4.992000491;-4.10569582;0.068684851
4.948419404;-5.971123209;5.032330295;-5.948465334;0.086916149
5.595197823;-7.531606823;5.687670348;-7.519573813;0.093252137
7.117425119;-8.479753687;7.220717564;-8.439091248;0.111007942
8.830313979;-8.809795899;8.951841889;-8.765671902;0.129290217
10.45714935;-8.38908605;10.57337414;-8.351189886;0.122246969
11.46253162;-6.905218543;11.56259591;-6.816298662;0.133864133
12.55022341;-5.510607571;12.62231025;-5.401712199;0.1305937
14.26322792;-5.293430587;14.32843312;-5.188193581;0.123800426
15.19767631;-5.7127467;15.29595562;-5.619020519;0.135806548
16.01710583;-6.984325026;16.14354741;-6.894494204;0.155103353
15.48121313;-8.485894974;15.5977323;-8.400594841;0.144405085
13.77586202;-8.784500605;13.904977;-8.694949592;0.15713072
12.2431969;-8.168669654;12.35417648;-8.085660269;0.138589417
11.31353534;-6.608517081;11.40051259;-6.523038563;0.121949247
10.38129909;-5.013266928;10.44695415;-4.935704193;0.101619705
9.683378914;-3.385222035;9.743093551;-3.306333623;0.098940484
9.825910855;-1.991839787;9.880987677;-1.941874108;0.07436414
9.825910855;-1.991839787;9.880987677;-1.941874108;0.07436414
