slam_x;slam_y;gt_x;gt_y;error
1.786215861;0.031670737;1.802123439;0.036873307;0.016736719
3.433302303;0.645636867;3.446166422;0.653158;0.014901443
3.949078419;2.044263165;3.954775008;2.071111855;0.027446371
3.44582366;2.73002847;3.439978203;2.764740817;0.035201085
3.095513005;2.59293467;3.072129698;2.589560717;0.023625465
4.142914896;1.146990621;4.152688206;1.146434475;0.009789121
5.452353984;-0.019082362;5.462717055;-0.02638834;0.012679532
6.981879966;-0.925536444;7.000115246;-0.915845608;0.020650369
7.483889459;-2.403774293;7.495072935;-2.400612219;0.011621912
9.160737783;-2.730084124;9.18399909;-2.714849695;0.027806047
7.886254172;-2.614925433;7.883563021;-2.604836203;0.010441976
7.806941005;-1.865232903;7.812728139;-1.841340435;0.024583347
9.092727558;-0.931787783;9.100846539;-0.891886137;0.040719272
10.71504834;-0.076444819;10.73674021;-0.053271598;0.031741701
11.62595037;1.215252823;11.65240735;1.246847078;0.041208841
10.74018227;2.295618068;10.7115139;2.323607259;0.040065827
10.73830233;3.531446756;10.7229875;3.560615257;0.032944581
12.01954861;3.116082504;12.00851033;3.108562387;0.01335649
12.93256202;2.823868517;12.90581266;2.850713545;0.03789701
12.06013124;2.926881678;12.06791585;2.943744678;0.018573123
12.20289029;1.764054894;12.21395216;1.77517624;0.01568596
12.97814738;0.909817923;12.95981638;0.961604045;0.054934761
14.48083166;0.933533031;14.48198483;0.970102226;0.036587373
15.98669332;0.828522219;15.97665587;0.859481235;0.032545525
16.9437209;-0.026748756;17.00260903;0.010075484;0.069453846
16.76787269;-1.31923516;16.76912493;-1.302973077;0.016310225
17.25952205;-2.957239926;17.26597918;-2.940961954;0.01751191
17.96804133;-4.18558022;17.98243582;-4.187230656;0.0144888
19.66861212;-4.152522023;19.69623972;-4.099322298;0.059945767
20.95613488;-5.030684252;20.98002493;-4.999266382;0.039469187
21.33952797;-6.793790058;21.33985609;-6.761753862;0.032037876
21.0892557;-8.433605902;21.1010705;-8.422654425;0.016109763
19.62480408;-9.038338015;19.609497;-9.015436041;0.02754645
18.04746323;-8.803480538;18.03198649;-8.764962417;0.041511146
17.01875881;-10.04989498;16.9941727;-10.01603457;0.041845003
15.58036004;-10.55689635;15.55883635;-10.52472766;0.038705219
14.22833783;-9.676362044;14.21573798;-9.616328353;0.061341668
13.64789752;-9.559486873;13.63886151;-9.526112213;0.034576254
13.29349264;-11.35329558;13.28916173;-11.32005702;0.033519531
13.20606419;-12.80903886;13.19858085;-12.74718944;0.062300486
14.42240659;-12.07716599;14.41348218;-11.98873025;0.088884896
16.1594151;-11.67146997;16.16770979;-11.6098856;0.062140457
17.46747079;-12.63955369;17.46572622;-12.60697444;0.032625935
19.204816;-12.86857225;19.22175068;-12.83391652;0.038572057
21.03704187;-13.00965378;21.05633978;-12.97395778;0.040578488
22.05787585;-12.03551011;22.06990834;-11.97832627;0.05843605
22.34511102;-10.17973123;22.34168489;-10.12312749;0.056707332
22.51619209;-8.343056196;22.51315596;-8.277948122;0.065178826
22.61152467;-6.460007659;22.5968867;-6.403317115;0.058549875
22.62536645;-4.610887443;22.60227628;-4.543732332;0.071013835
22.57536505;-2.736554266;22.54770078;-2.670277081;0.071819059
21.98691062;-1.09008828;21.94970843;-1.048872373;0.055522553
20.65137476;-0.275449506;20.59367279;-0.231537377;0.07251064
18.79350307;-0.124384078;18.74816637;-0.096724666;0.053107998
17.12761634;-0.129057049;17.09463555;-0.102134987;0.042573814
