slam_x;slam_y;gt_x;gt_y;error
0.247374841;0.013871126;0.24934997;0.011535537;0.003058776
0.179536674;-0.190188479;0.158320636;-0.187130984;0.021435217
-0.126917263;-0.807338642;-0.125910638;-0.785073812;0.022287574
-0.700787685;0.319367772;-0.710289127;0.31884541;0.009515789
-1.466053929;1.923032283;-1.4890518;1.916079352;0.024025931
-1.519092408;0.888638603;-1.521759134;0.875935816;0.012979685
-1.425171477;-0.995667407;-1.425741843;-0.996166514;0.000757909
-1.295165559;-2.866154899;-1.28993623;-2.865865882;0.00523731
-1.230902175;-4.696222617;-1.214450241;-4.722634082;0.03111642
-1.222649111;-6.601204453;-1.200037081;-6.597953695;0.022844503
-1.214396047;-8.466186289;-1.185615275;-8.474398274;0.029929409
-1.206142983;-10.33116813;-1.171213643;-10.34821793;0.038868428
-1.198781189;-12.01366578;-1.158423366;-12.01238173;0.040378245
-1.20593301;-10.39887109;-1.170910431;-10.38767024;0.036770098
-1.214186074;-8.513889253;-1.185317835;-8.513100602;0.028879009
-1.220845055;-6.632727104;-1.198526873;-6.638013582;0.022935738
-0.912805827;-4.862895475;-0.899425612;-4.843549718;0.023522085
-0.430135896;-3.043997852;-0.417551317;-3.036791352;0.014501905
0.276076237;-1.359105361;0.280621777;-1.342745892;0.016979227
1.050852526;0.333521465;1.053101737;0.351226939;0.017847766
1.668482158;2.064410378;1.671675333;2.08313626;0.018996185
1.778989003;2.941255291;1.765266067;2.94812291;0.015345461
1.788161357;1.066528657;1.790556827;1.074816339;0.008626932
1.781204042;-0.800682678;1.792229789;-0.794275128;0.012752403
1.733907871;-2.674114255;1.750641651;-2.667465012;0.018006439
1.667222308;-4.545927352;1.691579998;-4.540285511;0.025002549
1.594111911;-6.409501441;1.626796311;-6.410413751;0.032697131
1.536521199;-8.30051424;1.575682778;-8.281625451;0.04347891
1.495189168;-10.17505863;1.539370757;-10.15702394;0.047720674
1.453857137;-12.03960301;1.503080515;-12.03129764;0.049919136
