timestamp,memory_MB
1747046600.179199,49.30
1747046605.180008,49.52
1747046610.17975,51.12
1747046615.1797955,52.69
1747046620.179442,53.59
1747046625.1805134,53.59
1747046630.180837,54.89
1747046635.1795125,55.56
1747046640.1802258,55.56
1747046645.1800463,55.56
1747046650.1806805,58.78
1747046655.178639,58.90
1747046660.1787257,58.90
1747046665.1795578,58.90
1747046670.1790428,58.90
1747046675.1797612,58.90
1747046680.1793318,58.90
1747046685.1803968,58.90
1747046690.1798947,61.40
1747046695.17957,61.40
1747046700.1795259,62.40
1747046705.1803405,63.14
1747046710.1799915,63.14
1747046715.1791189,63.52
1747046720.1796374,63.52
1747046725.1800342,63.89
1747046730.1795986,69.64
1747046735.1794386,69.64
1747046740.180658,69.64
1747046745.1800544,69.64
1747046750.1804104,69.64
1747046755.1791143,69.64
1747046760.1790023,69.64
1747046765.1808631,68.93
1747046770.181518,70.30
1747046775.1807876,70.30
1747046780.1806092,69.95
1747046785.179914,74.32
1747046790.1799874,71.46
1747046795.179734,71.58
1747046800.178951,73.14
1747046805.1814857,73.14
1747046810.1796892,73.64
1747046815.1788309,75.26
1747046820.1785824,75.26
1747046825.1796613,75.93
1747046830.179376,79.56
1747046835.1816754,79.56
1747046840.1796267,79.56
1747046845.1802275,81.25
1747046850.1790576,84.85
1747046855.1786218,87.48
1747046860.1792996,88.11
1747046865.1795795,88.11
1747046870.1794143,90.48
1747046875.1785557,90.48
1747046880.1790278,90.48
1747046885.179658,90.85
1747046890.179608,90.85
1747046895.1789377,90.85
1747046900.1800365,90.85
1747046905.1796756,92.61
1747046910.1798394,93.18
1747046915.1792176,93.18
1747046920.1787927,95.72
1747046925.180502,101.09
1747046930.179433,101.09
1747046935.17897,100.61
1747046940.17894,100.61
1747046945.1799965,100.61
1747046950.1796184,100.61
1747046955.1786237,102.99
1747046960.1788256,109.04
1747046965.1799061,107.21
1747046970.179535,107.21
1747046975.1784923,107.21
1747046980.1789649,107.21
1747046985.1782858,106.91
1747046990.179493,106.91
1747046995.1787212,106.91
1747047000.1788254,106.25
1747047005.179942,115.77
1747047010.179848,115.77
1747047015.1795278,124.38
1747047020.1804104,118.74
1747047025.1797893,119.25
1747047030.1799011,119.25
1747047035.1800482,119.25
1747047040.1784697,119.25
1747047045.180508,123.66
1747047050.1799078,123.66
1747047055.179005,126.32
1747047060.1782777,126.32
1747047065.1791341,126.61
1747047070.179103,126.61
1747047075.178915,127.38
1747047080.1796691,127.38
1747047085.1795719,130.27
1747047090.1800916,130.27
1747047095.1787636,131.89
1747047100.179345,131.89
1747047105.1798744,133.39
1747047110.1791184,131.25
