timestamp,memory_MB
1747047936.4952834,87.79
1747047941.495462,87.79
1747047946.4951782,88.66
1747047951.5054672,88.66
1747047956.495296,92.39
1747047961.4954257,93.76
1747047966.4975798,94.00
1747047971.4952996,94.03
1747047976.4958599,94.75
1747047981.495061,94.79
1747047986.4953132,94.82
1747047991.4950175,94.83
1747047996.4951108,94.87
1747048001.4961007,94.86
1747048006.4958801,94.86
1747048011.4948974,94.86
1747048016.4950688,95.32
1747048021.4958837,96.27
1747048026.4948504,96.26
1747048031.495914,98.04
1747048036.4948037,103.82
1747048041.4953518,103.82
1747048046.4950116,104.46
1747048051.4954891,104.46
1747048056.4945114,104.46
1747048061.4959671,107.30
1747048066.4968379,107.30
1747048071.4950492,107.30
1747048076.4948852,107.30
1747048081.4956381,107.31
1747048086.4957833,107.31
1747048091.495665,107.31
1747048096.494993,107.31
1747048101.4980338,107.31
1747048106.4952996,107.31
1747048111.4953225,107.31
1747048116.4948914,109.31
1747048121.49665,109.32
1747048126.4949512,111.49
1747048131.4951305,112.50
1747048136.4945853,112.50
1747048141.49529,113.27
1747048146.4961247,115.78
1747048151.4961538,115.78
1747048156.495072,115.78
1747048161.4954915,115.78
1747048166.4950364,116.49
1747048171.4950335,116.79
1747048176.494931,117.53
1747048181.4949667,117.76
1747048186.494878,118.77
1747048191.4948041,120.32
1747048196.4954014,120.72
1747048201.4955359,120.72
1747048206.4950745,120.72
1747048211.495206,120.72
1747048216.4948235,120.72
1747048221.4949243,120.72
1747048226.495042,120.72
1747048231.4983642,120.72
1747048236.4950101,120.01
1747048241.4955068,120.54
1747048246.4954743,122.11
1747048251.4957278,122.14
1747048256.4951522,122.14
1747048261.4953198,123.70
1747048266.4953852,123.70
1747048271.4953513,122.27
1747048276.4944196,123.39
1747048281.4953544,125.50
1747048286.495614,125.86
1747048291.4946213,126.05
1747048296.4945102,126.05
1747048301.4962854,131.20
1747048306.4964814,127.58
1747048311.4953406,127.58
1747048316.4943805,127.66
1747048321.4953713,127.66
1747048326.4946837,127.66
1747048331.494834,127.66
1747048336.4950697,127.66
1747048341.495371,127.66
1747048346.4950726,127.66
1747048351.4950695,127.66
1747048356.494067,129.88
1747048361.4950807,129.88
1747048366.49706,129.92
1747048371.4951425,129.92
1747048376.4940016,129.91
1747048381.494745,129.90
1747048386.4951177,129.98
1747048391.494795,133.38
1747048396.494687,134.69
1747048401.4951856,133.62
1747048406.4952607,133.54
1747048411.4954605,133.46
1747048416.4942925,133.46
1747048421.495088,133.56
1747048426.4945686,133.46
1747048431.4952188,133.46
1747048436.4958646,133.46
1747048441.4952762,133.46
1747048446.4960923,133.46
1747048451.4953277,133.46
