timestamp,memory_MB
1747047270.5461748,197.73
1747047275.5466015,208.57
1747047280.5472515,222.43
1747047285.5470986,232.18
1747047290.546666,241.31
1747047295.5468986,245.90
1747047300.54933,254.32
1747047305.5493543,261.09
1747047310.5466855,265.71
1747047315.5464997,269.21
1747047320.547683,271.46
1747047325.5480642,274.46
1747047330.5469623,275.84
1747047335.5468962,277.96
1747047340.547565,280.09
1747047345.546704,283.09
1747047350.5461268,286.46
1747047355.5465357,291.21
1747047360.547704,293.59
1747047365.5467157,299.62
1747047370.5473652,303.99
1747047375.5473506,307.13
1747047380.5476496,311.39
1747047385.5468278,314.27
1747047390.546322,319.02
1747047395.5497863,323.28
1747047400.5465062,326.03
1747047405.546749,327.66
1747047410.5462506,329.03
1747047415.5483193,331.16
1747047420.54834,332.03
1747047425.546436,333.41
1747047430.5463476,334.28
1747047435.546294,336.03
1747047440.5473466,341.96
1747047445.5465448,346.25
1747047450.5460515,349.57
1747047455.54631,352.85
1747047460.546653,356.97
1747047465.5474448,359.35
1747047470.5457528,360.22
1747047475.546009,363.47
1747047480.5473495,368.10
1747047485.5472028,372.10
1747047490.546223,375.80
1747047495.5464675,380.12
1747047500.546565,381.75
1747047505.5561395,384.88
1747047510.5459635,389.48
1747047515.546778,395.89
1747047520.5467722,399.14
1747047525.5461674,402.51
1747047530.5458093,407.14
1747047535.546502,409.51
1747047540.5466802,412.51
1747047545.5461855,414.89
1747047550.5460558,415.64
1747047555.5463688,417.14
1747047560.5467558,418.01
1747047565.5471034,419.51
1747047570.5458748,478.01
1747047575.5464354,480.76
1747047580.5465987,484.26
1747047585.5502264,488.39
1747047590.5456743,490.89
1747047595.5471947,497.01
1747047600.546326,502.76
1747047605.5462377,508.12
1747047610.5456862,509.75
1747047615.5473166,510.53
1747047620.5462976,513.90
1747047625.5462527,516.28
1747047630.5459182,519.90
1747047635.5464432,522.12
1747047640.5462186,524.00
1747047645.5461593,525.12
1747047650.5463316,527.25
1747047655.5460627,529.12
1747047660.546218,530.00
1747047665.546661,530.87
1747047670.5459661,533.00
1747047675.5472717,535.87
1747047680.5465457,537.37
1747047685.5464149,539.00
1747047690.546163,540.62
1747047695.5468652,542.75
1747047700.5468946,543.87
1747047705.5466194,545.75
1747047710.5459948,548.12
1747047715.5475185,551.00
1747047720.5462322,552.50
1747047725.5471363,555.37
1747047730.5455132,558.12
1747047735.5463538,562.00
1747047740.547604,565.08
1747047745.5467825,568.21
1747047750.546211,571.83
1747047755.5539193,573.96
1747047760.546089,576.46
1747047765.5468655,578.46
1747047770.546387,579.21
1747047775.545975,581.21
1747047780.5460932,583.46
