timestamp,memory_MB
1747049776.2188768,475.60
1747049781.2204723,500.65
1747049786.2226322,551.03
1747049791.2278874,647.33
1747049796.2179844,737.27
1747049801.2186866,751.82
1747049806.2223845,835.92
1747049811.2184715,876.72
1747049816.2192943,867.46
1747049821.2180295,899.82
1747049826.219584,980.32
1747049831.2190278,1004.56
1747049836.2190356,1051.12
1747049841.2189257,1107.16
1747049846.2264724,1167.80
1747049851.2192247,1192.91
1747049856.221101,1247.19
1747049861.221546,1273.09
1747049866.2189784,1304.06
1747049871.2193346,1319.72
1747049876.2200317,1383.21
1747049881.2215047,1446.30
1747049886.2202663,1455.72
1747049891.2252479,1518.32
1747049896.2227879,1541.91
1747049901.222619,1597.45
1747049906.2244663,1609.02
1747049911.2186234,1606.50
1747049916.2221522,1651.36
1747049921.2224514,1680.39
1747049926.2201529,1686.95
1747049931.221302,1750.59
1747049936.2342954,1803.61
1747049941.2199032,1831.27
1747049946.2175934,1852.32
1747049951.220653,1938.13
1747049956.2221613,1980.79
1747049961.2173436,2007.03
1747049966.220324,2016.80
1747049971.2196715,2030.82
1747049976.2194436,2029.85
1747049981.2199554,2055.29
1747049986.2213988,2072.31
1747049991.2285514,2080.95
1747049996.2196045,2116.58
1747050001.2182107,2154.23
1747050006.2225683,2180.04
1747050011.220643,2187.53
1747050016.2183335,2219.12
1747050021.2220013,2227.43
1747050026.2175848,2259.80
1747050031.21907,2262.05
1747050036.2206256,2281.99
1747050041.225066,2281.91
1747050046.2252586,2277.87
1747050051.2180974,2328.43
1747050056.2202153,2357.28
1747050061.22252,2393.85
1747050066.2186625,2384.15
1747050071.2195222,2394.34
1747050076.2204697,2458.96
1747050081.2204962,2479.78
1747050086.2190328,2514.55
1747050091.2181075,2542.33
1747050096.220846,2562.66
1747050101.2206326,2612.63
1747050106.2185397,2644.78
1747050111.2197008,2689.59
1747050116.2176335,2720.62
1747050121.2196903,2718.01
1747050126.2178106,2734.48
1747050131.222104,2776.54
1747050136.2236168,2769.39
1747050141.218458,2805.21
1747050146.2209857,2819.23
1747050151.218955,2823.98
1747050156.2176766,2860.62
1747050161.2203844,2897.90
1747050166.2220414,2913.80
1747050171.2195816,2953.74
1747050176.2190726,2958.76
1747050181.2193832,2981.20
1747050186.2196314,3009.86
