Algorytm,Świat,Total_Time_s,Avg_Error,Max_Error,Min_Error,Std_Dev
Cartographer,Biuro,270,1.3606017680545455,2.304915647,0.064422663,0.8693243938797716
Cartographer,Magazyn,505,3.254178489156863,6.775661983,0.073233146,2.6390019529175994
Cartographer,Świat Abstrakcyjny,390,2.329069520177215,8.9832618,0.052067261,2.443492670195671
GMapping,Biuro,270,0.08859422987110536,0.140186679977438,0.0048631483052811,0.03652011539643404
GMapping,Magazyn,505,0.06081395790196078,0.129385866,0.004095111,0.028714392823738947
GMapping,Świat Abstrakcyjny,390,0.07054533925316456,0.131328141,0.01231119,0.027503812183646194
LiDAR RTAB-Map,Biuro,505,0.016298739781818183,0.033367042,0.003498634,0.008068980718148204
LiDAR RTAB-Map,Magazyn,505,0.02669810288235294,0.061952306,0.003272473,0.014110605538846972
LiDAR RTAB-Map,Świat Abstrakcyjny,390,1.288008953949367,4.322463011,0.001490917,1.3813685377058584
RGB-D RTAB-Map,Biuro,265,0.3141556867777778,0.599076279,0.038060782,0.169787662138389
RGB-D RTAB-Map,Magazyn,505,0.1841036856764706,0.63400718,0.00036858,0.1275570942015884
RGB-D RTAB-Map,Świat Abstrakcyjny,390,0.5368342822658227,1.253071108,0.023121932,0.4083889148773592
Slam Toolbox,Biuro,270,0.03830252358181818,0.088884896,0.009789121,0.019495327437348303
Slam Toolbox,Magazyn,505,0.04211253782352941,0.090794588,0.000757909,0.018325463370394424
Slam Toolbox,Świat Abstrakcyjny,390,0.06490190327848101,0.172743148,0.012958937,0.04094873014752765
